iter	Passed	Remaining
954	29274	1379
955	29357	1351
956	29440	1322
957	29505	1293
958	29578	1264
959	29669	1236
960	29717	1206
961	29759	1175
962	29798	1144
963	29835	1114
964	29881	1083
965	29921	1053
966	29962	1022
967	30029	992
968	30061	961
969	30095	930
970	30132	899
971	30169	869
972	30199	838
973	30230	806
974	30263	775
975	30293	744
976	30325	713
977	30360	682
978	30406	652
979	30450	621
980	30512	590
981	30569	560
982	30650	530
983	30781	500
984	30814	469
985	30849	438
986	30906	407
987	30940	375
988	30976	344
989	31014	313
990	31051	282
991	31088	250
992	31124	219
993	31159	188
994	31192	156
995	31227	125
996	31263	94
997	31300	62
998	31334	31
999	31367	0
